,Title,Budget,Revenue,Rating
11455,A Perfect Murder,"$60,000,000 (estimated)","$128,038,368",6.6
11456,Crazy Rich Asians,"$30,000,000 (estimated)","$239,343,729",6.9
11457,BUtterfield 8,"$2,800,000 (estimated)","$8,722",6.3
11458,The Exorcist: Believer,"$30,000,000 (estimated)","$136,284,218",4.8
11459,Choice of Arms,,,6.9
11460,A Long Way Down,"$12,000,000 (estimated)","$7,257,942",6.3
11461,Affliction,"$6,000,000 (estimated)","$6,330,054",6.9
11462,The Bostonians,,"$1,009,700",6.2
11463,Safe Haven,"$28,000,000 (estimated)","$97,594,140",6.7
11464,The Man from Majorca,,,6.9
11465,Mackenna's Gold,"$7,000,000 (estimated)",,6.7
11466,Fantasia 2000,"$80,000,000 (estimated)","$90,874,570",7.1
11467,Beowulf,"$150,000,000 (estimated)","$196,393,745",6.3
11468,Labyrinth of Lies,,"$4,574,756",7.3
11469,The Gods Must Be Crazy II,,"$6,291,444",6.8
11470,Speed,"$30,000,000 (estimated)","$350,448,145",7.3
11471,You Only Live Twice,"$9,500,000 (estimated)","$43,115,913",6.8
11472,My Cousin Vinny,"$11,000,000 (estimated)","$64,088,552",7.6
11473,Shallow Hal,"$40,000,000 (estimated)","$141,069,860",6.0
11474,There's Something About Mary,"$23,000,000 (estimated)","$369,884,651",7.1
11475,The Kovak Box,,"$2,078,762",5.8
11476,Gothika,"$40,000,000 (estimated)","$141,591,324",5.8
11477,Swades,,"$1,953,889",8.2
11478,The 40-Year-Old Virgin,"$26,000,000 (estimated)","$177,378,645",7.1
11479,Vanishing on 7th Street,"$10,000,000 (estimated)","$1,671,196",4.9
11480,1984,"£3,000,000 (estimated)","$8,430,492",7.1
11481,Contraband,"$25,000,000 (estimated)","$96,262,212",6.4
11482,The Illustrated Man,,,5.8
11483,Great Guns,,,6.1
11484,The Passion of the Christ,"$30,000,000 (estimated)","$612,060,372",7.2
11485,Sex After Kids,"$3,000,000 (estimated)",,5.5
11486,Fireproof,"$500,000 (estimated)","$33,473,297",6.4
11487,Rosa Luxemburg,,,6.9
11488,Ek Thi Daayan,,"$206,279",5.7
11489,Hercules: The Legendary Journeys (TV Series 199,,,6.5
11490,All About the Money,,,5.2
11491,Knock Off,"$30,000,000 (estimated)","$10,319,915",4.8
11492,The Corpse of Anna Fritz,,"$62,886",5.9
11493,The Grudge 3,"$5,000,000 (estimated)","$1,869,127",4.6
11494,Dudley Do-Right,"$70,000,000 (estimated)","$9,974,410",3.9
11495,I Am Number Four,"$60,000,000 (estimated)","$149,878,437",6.1
11496,The Beast of War,"$8,000,000 (estimated)","$161,004",7.3
11497,Space Jam: A New Legacy,"$150,000,000 (estimated)","$163,692,228",4.5
11498,Sniper. The White Raven,"€997,800 (estimated)","$6,105",6.4
11499,The Baron of Arizona,"$135,000 (estimated)",,6.9
11500,Charlie and the Chocolate Factory,"$150,000,000 (estimated)","$474,968,763",6.7
11501,Blue Like Jazz,"$1,200,000 (estimated)","$595,018",5.8
11502,Absolutely Anything,,"$6,303,792",6.0
11503,Listen to Me Marlon,,"$516,337",8.1
11504,The Breadwinner,,"$2,790,214",7.7
11505,Forced Vengeance,"$5,000,000 (estimated)","$6,660,333",5.5
11506,Nil by Mouth,"$9,000,000 (estimated)","$284,477",7.3
11507,Because I Said So,,"$69,485,490",5.6
11508,Pale Flower,,,7.7
11509,Holy Matrimony,,"$713,234",5.1
11510,East of Eden,,"$25,181",7.8
11511,Gate of Flesh,,,7.2
11512,Chal Mere Bhai,,"$199,227",4.7
11513,Reindeer Games,"$42,000,000 (estimated)","$32,168,970",5.8
11514,Terror in the Aisles,,"$10,004,817",6.3
11515,The Founder,"$25,000,000 (estimated)","$24,121,245",7.2
11516,Tommy Boy,"$20,000,000 (estimated)","$32,679,899",7.1
11517,A Virgin Among the Living Dead,,,4.9
11518,Carry on Camping,,,6.6
11519,Jeremiah Johnson,"$3,100,000 (estimated)",,7.6
11520,Quicksand (TV Mini Serie,,,7.4
11521,East Is East,"£1,900,000 (estimated)","$4,177,818",6.9
11522,Guarding Tess,"$20,000,000 (estimated)","$27,058,304",6.2
11523,RoboCop 3,"$22,000,000 (estimated)","$10,696,210",4.2
11524,Homeward Bound: The Incredible Journey,,"$41,833,324",6.9
11525,Shane,"$3,100,000 (estimated)",,7.6
11526,The Men Who Tread on the Tiger's Tail,,,6.7
11527,The Gamers: Hands of Fate,,,6.8
11528,On the Beach,"$2,900,000 (estimated)",,7.1
11529,ParaNorman,"$60,000,000 (estimated)","$107,139,399",7.0
11530,Spinning Man,"$8,500,000 (estimated)","$283,755",5.7
11531,The Resident (TV Series 201,,,7.8
11532,Lady Bird,"$10,000,000 (estimated)","$78,987,280",7.4
11533,Lost and Delirious,,"$396,897",6.8
11534,Shakes the Clown,"$1,400,000 (estimated)","$115,103",5.6
11535,Identity,"$28,000,000 (estimated)","$90,259,536",7.3
11536,The Raid: Redemption,"$1,100,000 (estimated)","$9,110,461",7.6
11537,Loverboy,"$8,500,000 (estimated)","$3,960,327",6.0
11538,Double Wedding,,,6.9
11539,Monster Pies,"A$30,000 (estimated)",,6.7
11540,Equinox (TV Serie,,,6.1
11541,Bikini Warriors (TV Movi,"$500,000 (estimated)",,3.9
11542,Dil Ka Rishta,,"$526,571",4.8
11543,Europa Report,,"$125,687",6.4
11544,"Love, Simon","$17,000,000 (estimated)","$66,719,009",7.5
11545,The Wrong Man,"$1,200,000 (estimated)",$494,7.4
11546,Why Stop Now?,,"$2,432",5.5
11547,Hatchet II,"$800,000 (estimated)","$156,190",5.5
11548,Beyond the Law,"$2,500,000 (estimated)",,3.7
11549,Welcome to the Punch,"$8,500,000 (estimated)","$3,926,386",6.1
11550,After the Party (TV Series ,,,7.4
11551,Irma la Douce,"$5,000,000 (estimated)",$52,7.3
11552,The Sense of an Ending,,"$5,081,495",6.4
11553,Remember Me,"$16,000,000 (estimated)","$56,032,889",7.1
11554,Vicky Donor,,"$6,456,358",7.8
11555,A Few Good Men,"$41,000,000 (estimated)","$243,240,178",7.7
11556,The Day of the Siege: September Eleven 1683,"€12,000,000 (estimated)","$2,143,479",4.3
11557,You Got Served,"$8,000,000 (estimated)","$50,576,805",3.9
11558,Alpha Dog,,"$32,351,125",6.9
11559,"Lock, Stock and Two Smoking Barrels","£960,000 (estimated)","$3,753,929",8.1
11560,Dark Woods II,"$1,500,000 (estimated)","$758,497",5.1
11561,The Black Hole,"$20,000,000 (estimated)","$35,841,901",5.9
11562,High Lane,"€2,370,000 (estimated)","$2,141,798",5.6
11563,WWE: Next Gen (TV Series ,,,7.9
11564,Universal Soldier,"$23,000,000 (estimated)","$36,299,898",6.1
11565,The Out-of-Towners,"$75,000,000 (estimated)","$28,544,120",5.5
11566,Love Happens,"$18,000,000 (estimated)","$36,088,028",5.7
11567,The Boy Next Door,"$4,000,000 (estimated)","$52,425,855",4.7
11568,Late Autumn,,"$17,781",7.9
11569,Stay Cool,"$4,500,000 (estimated)",,4.9
11570,Demon House,"$22,000,000 (estimated)",,4.8
11571,Return to Nuke 'Em High Volume 1,,"$5,122",5.3
11572,ABCD: American-Born Confused Desi,,"$48,711",6.7
11573,Dodgeball: A True Underdog Story,"$20,000,000 (estimated)","$168,423,227",6.7
11574,Fort Apache,"$2,500,000 (estimated)","$11,928",7.4
11575,Nappily Ever After,,,6.4
11576,Phenomena,"$3,800,000 (estimated)",,6.7
11577,Manpower,,,6.6
11578,Grease,"$6,000,000 (estimated)","$396,271,103",7.2
11579,In Search of a Midnight Kiss,"$25,000 (estimated)","$1,294,176",7.2
11580,All Quiet on the Western Front,,,7.8
11581,Detention,"$10,000,000 (estimated)",,5.6
11582,Immediate Family,,"$66,379",8.3
11583,TMNT,"$34,000,000 (estimated)","$95,802,916",6.2
11584,Jack and the Cuckoo-Clock Heart,"$33,746,302 (estimated)","$3,489,902",6.9
11585,The Hudsucker Proxy,"$40,000,000 (estimated)","$2,816,518",7.2
11586,Princess Mononoke,"¥2,400,000,000 (estimated)","$170,203,640",8.3
11587,Broken Lance (Vide,"£1,000,000 (estimated)",,6.4
11588,War for the Planet of the Apes,"$150,000,000 (estimated)","$490,719,763",7.4
11589,Scotch: A Golden Dream,,"$39,545",7.5
11590,The Final Conflict,"$5,000,000 (estimated)","$20,471,382",5.5
11591,Invaders from Mars,"$12,000,000 (estimated)","$4,884,663",5.5
11592,The Night of the Generals,,,7.2
11593,American Flyers,,"$1,420,355",6.5
11594,"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized (TV Series ",,,6.1
11595,Here Comes Mr. Jordan,,,7.5
11596,The American Barbecue Showdown (TV Series ,,,7.2
11597,Manic,,"$69,958",7.2
11598,A Company Man,,"$7,339,398",6.6
11599,Decision Before Dawn,,,7.2
11600,The Funhouse Massacre,,,5.2
11601,Deep in the Valley,,,4.4
11602,The Love Witch,,"$252,262",6.2
11603,Suspiria,"$20,000,000 (estimated)","$7,942,093",6.7
11604,Enough Said,"$8,000,000 (estimated)","$25,288,872",7.0
11605,Merveilleuse Angélique,,,6.5
11606,Charlie Chan at the Wax Museum,,,7.1
11607,Secret Window,"$40,000,000 (estimated)","$92,913,171",6.5
11608,Black or White,"$9,000,000 (estimated)","$21,833,967",6.6
11609,Like Water for Chocolate,"$2,000,000 (estimated)","$21,744,201",7.1
11610,Anjaan: Special Crimes Unit (TV Series ,,,7.6
11611,Three Steps Above Heaven,,"$14,066,238",6.8
11612,Super Hybrid,"$13,000,000 (estimated)",,4.1
11613,Silk Stockings,"$1,853,463 (estimated)","$9,755",6.8
11614,The Boogeyman,"$35,000,000 (estimated)","$67,307,243",5.9
11615,The Mist,"$18,000,000 (estimated)","$57,470,220",7.1
11616,Easy A,"$8,000,000 (estimated)","$75,032,374",7.0
11617,Lara Croft: Tomb Raider - The Cradle of Life,"$95,000,000 (estimated)","$160,099,222",5.5
11618,Get Smart,"$80,000,000 (estimated)","$230,685,453",6.5
11619,The Great Santini,"$4,000,000 (estimated)","$4,702,575",7.2
11620,The Hand of Death,,,6.0
11621,The Kissing Booth,,,5.9
11622,Ladyhawke,"$20,000,000 (estimated)","$18,432,000",6.9
11623,Bad Day at Black Rock,"$1,271,000 (estimated)","$10,813",7.7
11624,Serbian Dancing Lady (Shor,,,6.5
11625,Ichi the Killer,"$1,400,000 (estimated)","$80,631",7.0
11626,The Red Pill,,,8.0
11627,9 to 5,"$10,000,000 (estimated)","$103,303,181",6.9
11628,A Wednesday,,"$3,256,911",8.1
11629,Jungle Fever,"$14,000,000 (estimated)","$43,882,682",6.6
11630,Halloween H20: 20 Years Later,"$17,000,000 (estimated)","$55,041,738",5.8
11631,The Secret of My Success,"$12,000,000 (estimated)","$110,996,879",6.5
11632,Sayap-Sayap Patah,,,5.6
11633,Somers Town,"£500,000 (estimated)","$1,189,186",6.8
11634,Molokai,"€7,436,800 (estimated)","$182,695",6.9
11635,The King Is Alive,,"$17,929",6.3
11636,Little Monsters,"$4,500,000 (estimated)","$793,775",6.0
11637,The Phantom of the Opera,"$70,000,000 (estimated)","$154,674,241",7.2
11638,Victor Crowley,"$400,000 (estimated)",,5.5
11639,Shattered,"$1,000,000 (estimated)","$425,457",5.0
11640,Dil Hai Tumhaara,,,5.5
11641,The Man Who Fell to Earth (TV Serie,,,7.3
11642,Crank: High Voltage,"$20,000,000 (estimated)","$34,572,541",6.1
11643,Brother Bear 2 (Vide,,,6.1
11644,The Old Dark House,,"$34,649",7.0
11645,State of Play,"$60,000,000 (estimated)","$87,812,371",7.1
11646,Haarautuvan rakkauden talo,"€1,370,398 (estimated)","$1,846,748",6.4
11647,Now You Know,"$380,000 (estimated)",,6.4
11648,City of God,"R$3,300,000 (estimated)","$30,680,793",8.6
11649,Captain America: The Winter Soldier,"$170,000,000 (estimated)","$714,421,503",7.7
11650,Villa Amalia,,"$3,008,993",6.2
11651,The Peanuts Movie,"$99,000,000 (estimated)","$246,233,113",7.0
11652,The Human Condition I: No Greater Love,,,8.5
11653,Lake Dead,"$2,500,000 (estimated)","$97,182",4.1
11654,A Complete ,,,
11655,The Armstrong Lie,,"$594,394",7.3
11656,"Torrente, the Dumb Arm of the Law","€1,000,000 (estimated)",,6.8
11657,Jason Goes to Hell,"$3,000,000 (estimated)","$15,935,068",4.1
11658,Firefox,"$21,000,000 (estimated)","$46,708,276",5.9
11659,Anadolu Kartallari,,"$5,810,196",6.2
11660,Amar te duele,"$5,000,000 (estimated)","$6,691,287",6.6
11661,Zom 100: Bucket List of the Dead (TV Serie,,,7.6
11662,Tyrannosaur,,"$676,111",7.5
11663,The 4th Floor,,,5.8
11664,The Lady from Shanghai,"$2,300,000 (estimated)","$1,219",7.5
11665,My First Mister,"$5,250,000 (estimated)","$595,005",7.2
11666,"Blood In, Blood Out","$35,000,000 (estimated)","$4,496,583",7.9
11667,After Earth,"$130,000,000 (estimated)","$243,611,982",4.8
11668,Who Is Cletis Tout?,"$9,000,000 (estimated)","$280,458",6.3
11669,The Victors,,,6.9
11670,Bullet Train,"$85,900,000 (estimated)","$239,268,602",7.3
11671,The Leech Woman,,,4.7
11672,Seems Like Old Times,,"$43,995,918",6.7
11673,Last to Brake (TV ,,,
11674,The Deer Hunter,"$15,000,000 (estimated)","$49,080,126",8.1
11675,Bleed for This,"$6,000,000 (estimated)","$6,698,679",6.8
11676,Confessions of a Teenage Drama Queen,"$15,000,000 (estimated)","$33,251,890",4.7
11677,Crows Zero,,"$22,036,607",7.0
11678,Conference of Animals,,"$51,883,642",4.9
11679,Khaleja,,"₹180,800,000",7.6
11680,U Turn,"$19,000,000 (estimated)","$6,682,098",6.7
11681,Luv Shuv Tey Chicken Khurana,,"$1,813,916",6.6
11682,A Fighting Man,,,5.5
11683,Lethal Weapon (TV Series 201,,,7.8
11684,BlacKkKlansman,"$15,000,000 (estimated)","$93,413,709",7.5
11685,London to Brighton,"£500,000 (estimated)","$449,681",6.9
11686,Battle Royale,"$4,500,000 (estimated)","$1,341,324",7.5
11687,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$70,000,000 (estimated)","$180,513,586",7.2
11688,The Taming of the Scoundrel,,,7.6
11689,Life of a King,,"$44,161",6.9
11690,The Purge: Anarchy,"$9,000,000 (estimated)","$111,928,365",6.4
11691,Not Another Teen Movie,"$15,000,000 (estimated)","$66,468,985",5.8
11692,Crooked Arrows,"$13,000,000 (estimated)","$1,832,541",5.9
11693,George & Tammy (TV Series 202,,,7.5
11694,Annabelle,"$6,500,000 (estimated)","$257,589,952",5.4
11695,Brigham City,"$1,000,000 (estimated)","$852,206",6.7
11696,The Girl in the Photographs,,,4.5
11697,Twin Falls Idaho,"$500,000 (estimated)","$985,341",7.1
11698,Visions of Light,,"$799,856",7.7
11699,Carry on Jack,,,5.8
11700,Imagining Argentina,,"$383,106",6.1
11701,There's Only One Jimmy Grimble,,,6.6
11702,Bad Ass,,,5.4
11703,The Manchurian Candidate,"$80,000,000 (estimated)","$96,105,910",6.6
11704,Their Finest,"€10,000,000 (estimated)","$12,597,262",6.8
11705,Love on A Diet,,,6.5
11706,Deliverance,"$2,000,000 (estimated)","$4,550",7.7
11707,The Life of Jesus,"€1,200,000 (estimated)",,7.0
11708,The Hot Flashes,"$4,000,000 (estimated)",,5.1
11709,Dedication,,"$407,511",6.6
11710,Maleficent,"$180,000,000 (estimated)","$759,853,685",6.9
11711,Drunk Wedding,,"$3,301",4.6
11712,An Inspector Calls (TV Movi,,,7.6
11713,Double zéro,,"$13,853,682",4.0
11714,Phantom Thread: Deleted Scenes - For the Hungry Boy (Vide,,,7.7
11715,The Mummy Returns,"$98,000,000 (estimated)","$443,284,916",6.4
11716,Pitch Black,"$23,000,000 (estimated)","$53,187,659",7.0
11717,Ratatouille,"$150,000,000 (estimated)","$623,728,318",8.1
11718,But Forever in My Mind,,"$24,151",6.3
11719,Lethal Weapon (TV Series 201,,,7.8
11720,Pyaar Ke Side Effects,"₹45,000,000 (estimated)","$60,714",6.8
11721,Ip Man 3,"$36,000,000 (estimated)","$157,029,618",7.0
11722,House of the Rising Sun,"$1,500,000 (estimated)",,4.4
11723,Jackie Brown,"$12,000,000 (estimated)","$39,693,743",7.5
11724,Secuestro,"€3,000,000 (estimated)","$1,143,304",6.4
11725,Pretty Persuasion,"$2,500,000 (estimated)","$537,126",6.4
11726,Sleeping with Other People,,"$3,224,947",6.5
11727,Antwone Fisher,"$12,500,000 (estimated)","$23,367,586",7.3
11728,Chinese Take-Away,"$5,000,000 (estimated)","$10,911,008",7.3
11729,Werckmeister Harmonies,"FRF 10,000,000 (estimated)","$69,923",8.0
11730,Delivering Milo,,,5.7
11731,Once Were Warriors,,"$1,608,610",7.9
11732,So Proudly We Hail!,,,7.4
11733,Bee Season,"$14,000,000 (estimated)","$6,856,989",5.5
11734,Anbe Sivam,,,8.6
11735,The Legend of Korra (TV Series 201,,,8.3
11736,The Conjuring: Las,,,
11737,Open My Heart,"€5,000 (estimated)","$4,381",4.9
11738,Bridesmaids,"$32,500,000 (estimated)","$306,442,085",6.8
11739,Onegin,"$14,000,000 (estimated)","$206,128",6.8
11740,Fantastic Four: Rise of the Silver Surfer,"$130,000,000 (estimated)","$301,913,131",5.6
11741,Ghostbusters: Frozen Empire,"$100,000,000 (estimated)","$177,549,359",6.4
11742,A Good Day to Die Hard,"$92,000,000 (estimated)","$304,654,182",5.2
11743,Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire,,,7.0
11744,Hotel du Nord,,,7.5
11745,Romeo + Juliet,"$14,500,000 (estimated)","$147,554,998",6.7
11746,Hatchet,"$1,500,000 (estimated)","$208,550",5.6
11747,For Greater Glory: The True Story of Cristiada,"$12,000,000 (estimated)","$10,173,682",6.5
11748,"Amanece, que no es poco",,,7.4
11749,Chilling Visions: 5 Senses of Fear,,,4.9
11750,Ek Hasina Thi,"₹80,000,000 (estimated)",,7.5
11751,Darling Companion,,"$1,157,257",5.2
11752,Short Term 12,,"$1,645,164",7.9
11753,Burnt Money,,"$190,075",7.0
11754,Cotton Comes to Harlem,"$1,200,000 (estimated)",,6.5
11755,Private Parts,"$28,000,000 (estimated)","$41,230,799",6.9
11756,Damini,,,7.8
11757,Defying Gravity: The Untold Story of Women's Gymnastics (TV Mini Series ,,,8.7
11758,Tough Guys,"$10,000,000 (estimated)","$21,458,229",6.2
11759,Bamboozled,"$10,000,000 (estimated)","$2,463,650",6.7
11760,The Witch,"$4,000,000 (estimated)","$40,423,945",7.0
11761,Soldier Blue,,,6.9
11762,Triumph of the Spirit,"$12,000,000 (estimated)","$408,839",6.8
11763,Cosmos: A Spacetime Odyssey (TV Mini Serie,,,9.3
11764,The Killing of a Chinese Bookie,,"$16,198",7.3
11765,To Catch a Thief,"$2,500,000 (estimated)","$6,367",7.4
11766,What Doesn't Kill You,,"$44,872",6.5
11767,My Beloved Bodyguard,,"$52,165,873",5.9
11768,An Awkward Sexual Adventure,,"$222,560",6.1
11769,Goodbye Lover,"$20,000,000 (estimated)","$1,940,299",5.6
11770,Finian's Rainbow,"$3,500,000 (estimated)",,6.1
11771,Don't Let Him In,"£3,200,000 (estimated)",,3.5
11772,Omkara,,"$16,466,144",8.0
11773,Big Fish,"$70,000,000 (estimated)","$123,235,422",8.0
11774,Best in Show,"$10,000,000 (estimated)","$20,789,556",7.4
11775,Beverly Hills Ninja,"$18,000,000 (estimated)","$31,480,418",5.6
11776,Paradise Now,"$2,000,000 (estimated)","$3,579,902",7.4
11777,I Am Not Your Negro,,"$8,345,298",7.9
11778,Baby on Board,"$8,000,000 (estimated)",,4.2
11779,And Now the Screaming Starts!,,,5.9
11780,Oh! What a Lovely War,,,7.0
11781,Alex of Venice,,,5.8
11782,Kamikaze Girls,,"$5,290,748",7.2
11783,Crimson Peak,"$55,000,000 (estimated)","$74,679,822",6.5
11784,The Sacrament,"$4,000,000 (estimated)","$9,221",6.1
11785,Tales from the Darkside: The Movie,"$3,500,000 (estimated)","$16,324,573",6.2
11786,Bride Wars,"$30,000,000 (estimated)","$115,375,850",5.5
11787,Heaven Is for Real,"$12,000,000 (estimated)","$101,982,712",5.8
11788,Hick,"$7,000,000 (estimated)",,5.5
11789,Battle for Haditha,,"$245,521",6.9
11790,Capturing the Friedmans,,"$4,076,990",7.6
11791,Dillinger,"$1,000,000 (estimated)",,6.9
11792,Warlock: The Armageddon,"$3,000,000 (estimated)","$3,902,679",5.4
11793,When Dinosaurs Ruled the Earth,"£566,000 (estimated)",,5.1
11794,An Unmarried Woman,,,7.2
11795,My Favorite Wife,,,7.3
11796,Not Forgotten,,"$230,366",4.7
11797,The Bag Man,,"$461,780",5.2
11798,Volcano,"$90,000,000 (estimated)","$122,823,468",5.5
11799,The Shawshank Redemption,"$25,000,000 (estimated)","$28,906,619",9.3
11800,Going Postal (TV Mini Serie,,,7.6
11801,The Woman in the House Across the Street from the Girl in the Window (TV Mini Serie,,,6.4
11802,Robin Hood: Men in Tights,"$20,000,000 (estimated)","$35,739,755",6.7
11803,Collateral,"$65,000,000 (estimated)","$220,239,925",7.5
11804,Planet of the Vampires,"$200,000 (estimated)",,6.2
11805,The Dark Crystal: Age of Resistance (TV Serie,,,8.4
11806,A King in New York,,$910,7.0
11807,Yojimbo,,"$46,808",8.2
11808,Black Bread,"$6,000,000 (estimated)","$3,784,105",6.9
11809,The Resurrection of Gavin Stone,"$2,000,000 (estimated)","$2,308,355",6.3
11810,2 Days in the Valley,,"$11,132,210",6.5
11811,Journey to the Seventh Planet,"$74,600 (estimated)",,4.7
11812,The Blob,"$19,000,000 (estimated)","$8,247,943",6.6
11813,Eden Lake,,"$3,984,669",6.7
11814,Ice Castles,,,6.5
11815,Young at Heart,,,6.7
11816,Dark Habits,,,6.5
11817,Yamla Pagla Deewana 2,,"$455,841",3.4
11818,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$25,000,000 (estimated)","$78,656,813",6.0
11819,"What Did You Do in the War, Daddy?","$7,000,000 (estimated)",,6.6
11820,The Place Beyond the Pines,"$15,000,000 (estimated)","$47,146,895",7.3
11821,NCIS: Los Angeles (TV Series 200,,,6.8
11822,'Round Midnight,"$3,000,000 (estimated)","$3,272,593",7.4
11823,The Ghost Goes West,,,6.7
11824,The Hills Run Red (Vide,,,5.4
11825,Fermat's Room,,"$1,028,290",6.6
11826,Insidious,"$1,500,000 (estimated)","$100,106,454",6.8
11827,It All Starts Today,,,7.4
11828,The Salesman,,"$6,953,604",7.7
11829,The Informer,,"$91,324",7.7
11830,Howling II: ... Your Sister Is a Werewolf,,,3.7
11831,Debug,,,4.3
11832,The Young and the Restless (TV Series ,,,5.3
11833,The Conversation,"$1,600,000 (estimated)","$4,699,252",7.7
11834,Bad Kids Go to Hell,,,4.5
11835,Lucky Them,,"$48,995",6.1
11836,All We Had,,,5.9
11837,Stealing Beauty,"$10,000,000 (estimated)","$4,880,863",6.5
11838,The Green Berets,"$7,000,000 (estimated)",,5.6
11839,Borg vs. McEnroe,"SEK 165,000,000 (estimated)","$3,431,867",6.9
11840,Ogres,,"$35,600",6.9
11841,Come and Find Me,,"$4,052",5.7
11842,Ten,,"$558,160",5.5
11843,Hoodwinked Too! Hood vs. Evil,"$30,000,000 (estimated)","$23,840,350",4.7
11844,What Women Want,"$70,000,000 (estimated)","$374,111,707",6.4
11845,The Namesake,"$9,500,000 (estimated)","$20,354,321",7.5
11846,Another Happy Day,"$4,000,000 (estimated)","$659,937",6.0
11847,The Kitchen,,,4.8
11848,Apocalypse Pompeii,,,2.5
11849,South Park (TV Series ,,,8.7
11850,Her Sey Çok Güzel Olacak,,,8.1
11851,The Lost Skeleton of Cadavra,"$40,000 (estimated)","$143,121",6.8
11852,"The Prize Winner of Defiance, Ohio","$12,000,000 (estimated)","$750,212",7.2
11853,Unlawful Entry,,"$57,138,719",6.4
11854,The Night of the Shooting Stars,,"$2,257,307",7.3
11855,The Enchanted Cottage,,,7.5
11856,Mildred Pierce (TV Mini Serie,,,7.6
11857,What's Your Number?,"$20,000,000 (estimated)","$30,426,096",6.0
11858,The Mosquito Coast (TV Series 202,,,6.8
11859,Realive,"$7,000,000 (estimated)","$125,680",5.9
11860,Quid Pro Quo,,"$11,864",6.1
11861,Viral,,"$551,760",5.5
11862,The Littlest Rebel,,,6.7
11863,Money Heist (TV Series 201,,,8.2
11864,Desperately Seeking Susan,"$4,500,000 (estimated)","$27,399,597",6.1
11865,Hoodies vs. Hooligans,,"$168,588",5.7
11866,Under Siege 2: Dark Territory,"$60,000,000 (estimated)","$104,324,083",5.5
11867,Despicable Me 2,"$76,000,000 (estimated)","$970,766,005",7.3
11868,Fist of Legend,,,7.5
11869,Don Verdean,,"$31,309",5.4
11870,Topper,"$500,000 (estimated)",,7.2
11871,Planet Single,,"$9,252,084",6.8
11872,The Delinquents,,"$313,531",6.8
11873,The Music Man,"$4,240,000 (estimated)",,7.7
11874,A Brief History of Time,,"$2,279,692",7.3
11875,Coco,"$175,000,000 (estimated)","$814,337,054",8.4
11876,The Hunt,"DKK 20,000,000 (estimated)","$15,886,373",8.3
11877,Blonde Ambition,"$10,000,000 (estimated)","$1,627,909",3.9
11878,The Bang Bang Club,,"$221,292",6.9
11879,Land of Mine,"DKK 35,500,000 (estimated)","$3,169,553",7.8
11880,Albino Alligator,"$6,000,000 (estimated)","$339,379",6.1
11881,Mangal Pandey,"₹340,000,000 (estimated)","$8,142,076",6.5
11882,The Mortal Storm,,,7.7
11883,Skin in the Game,,,4.7
11884,Ouija: Origin of Evil,"$9,000,000 (estimated)","$81,705,746",6.2
11885,Mamma Mia! Here We Go Again,"$75,000,000 (estimated)","$402,270,330",6.6
11886,Ran,"$11,500,000 (estimated)","$4,166,319",8.2
11887,Perkins' 14,,"$103,054",5.0
11888,An American Tail,,"$84,542,002",6.9
11889,Midnight in the Garden of Good and Evil,"$35,000,000 (estimated)","$25,105,255",6.6
11890,All Quiet on the Western Front,,,7.8
11891,The Night Caller (TV Mini Serie,,,7.0
11892,The Fall Guy,"$125,000,000 (estimated)",,7.4
11893,Madame Bovary,,"$658,532",5.7
11894,The Debt,"$20,000,000 (estimated)","$45,636,368",6.8
11895,Pixie,,"$688,554",5.9
11896,Nathalie...,"€7,350,000 (estimated)","$5,254,422",6.3
11897,Heartbreak High (TV Series ,,,7.7
11898,My Brother the Devil,,"$132,056",6.5
11899,Woman of the Year,,,7.1
11900,The Hijacking of Flight 601 (TV Mini Serie,,,6.7
11901,Silent Hill,"$50,000,000 (estimated)","$100,605,135",6.5
11902,The Naked Jungle,,,6.7
11903,Blue Collar,"$1,700,000 (estimated)","$6,521,083",7.5
11904,Ishaqzaade,"₹220,000,000 (estimated)",,6.5
11905,Scaramouche,"$3,500,000 (estimated)",,7.5
11906,The Assassins (TV Serie,,,7.8
11907,The Santa Clause 2,"$65,000,000 (estimated)","$172,855,065",5.7
11908,The Idiots,"$2,500,000 (estimated)","$2,804",6.7
11909,La Mission,"$3,000,000 (estimated)","$1,062,941",7.0
11910,Pat and Mike,,"$11,884",6.9
11911,xXx: Return of Xander Cage,"$85,000,000 (estimated)","$346,118,277",5.2
11912,Winnie-the-Pooh: Blood and Honey 2,"$1,000,000 (estimated)","$680,922",5.4
11913,Here Comes the Devil,,"$4,534",5.6
11914,Reconstruction,,"$471,107",7.3
11915,Voyage to the Planet of Prehistoric Women,,,2.9
11916,Werewolf of London,"$195,393 (estimated)",,6.3
11917,Robin Hood: Men in Tights,"$20,000,000 (estimated)","$35,739,755",6.7
11918,Freerunner,"$5,000,000 (estimated)","$224,236",3.5
11919,Paper Clips,,"$1,152,757",7.3
11920,Matt Rife: Natural Selection (TV Specia,,,4.8
11921,By Any Means (TV Mini Serie,,,7.0
11922,Santa Barbara (TV Series 198,,,5.7
11923,Scary Movie 2,"$45,000,000 (estimated)","$141,220,678",5.3
